trial,time_steps_to_failure
1,15
2,17
3,11
4,16
5,33
6,20
7,13
8,14
9,18
10,64
11,149
12,125
13,181
14,156
15,187
16,176
17,183
18,145
19,192
20,183
21,146
22,150
23,171
24,173
25,193
26,196
27,195
28,195
29,190
30,164
31,113
32,184
33,133
34,152
35,157
36,183
37,162
38,173
39,173
40,191
41,190
42,163
43,156
44,171
45,163
46,161
47,168
48,186
49,187
50,162
51,169
52,166
53,190
54,171
55,186
56,190
57,190
58,161
59,165
60,175
61,162
62,169
63,159
64,167
65,190
66,171
67,195
68,157
69,193
70,172
71,167
72,192
73,167
74,186
75,267
76,194
77,196
78,167
79,174
80,192
81,167
82,197
83,173
84,192
85,195
86,192
87,157
88,177
89,174
90,130
91,171
92,163
93,193
94,160
95,197
96,166
97,166
98,200
99,156
100,174
101,196
102,172
103,197
104,194
105,168
106,165
107,158
108,178
109,185
110,198
111,174
112,234
113,161
114,160
115,161
116,167
117,197
118,163
119,179
120,196
121,202
122,171
123,158
124,181
125,170
126,202
127,221
128,192
129,162
130,160
131,184
132,160
133,184
134,171
135,171
136,173
137,162
138,188
139,171
140,167
141,191
142,194
143,181
144,158
145,166
146,190
147,201
148,196
149,194
150,163
151,202
152,160
153,173
154,195
155,158
156,186
157,172
158,189
159,193
160,162
161,169
162,169
163,190
164,160
165,165
166,173
167,163
168,191
169,160
170,170
171,195
