state,left,down,right,up
0,0.509271,0.488050,0.480250,0.479772
1,0.090257,0.170917,0.149424,0.424068
2,0.359321,0.173434,0.202326,0.231159
3,0.001968,0.001922,0.001690,0.208930
4,0.530168,0.364891,0.381349,0.386401
5,0.009786,0.007992,0.004615,0.007805
6,0.168213,0.144036,0.240208,0.063798
7,0.005218,0.004147,0.002646,0.007742
8,0.361282,0.260368,0.397323,0.558447
9,0.509541,0.603503,0.398344,0.390008
10,0.516988,0.332125,0.210406,0.252321
11,0.006668,0.006706,0.002104,0.001289
12,0.003154,0.003637,0.005702,0.004386
13,0.324057,0.404569,0.762740,0.345788
14,0.595424,0.884485,0.710851,0.743694
15,0.001590,0.001104,0.006563,0.001382
