state,left,down,right,up
0,0.119733,0.003567,0.005946,0.006480
1,0.000093,0.001583,0.000890,0.202099
2,0.005771,0.184834,0.003840,0.004864
3,0.000004,0.000699,0.000276,0.104582
4,0.111151,0.000364,0.000126,0.000143
5,0.000000,0.000000,0.000000,0.000000
6,0.000102,0.000000,0.156840,0.000062
7,0.000000,0.000000,0.000000,0.000000
8,0.000320,0.000482,0.002130,0.389852
9,0.000000,0.319020,0.000195,0.000000
10,0.670628,0.001528,0.000016,0.000509
11,0.000000,0.000000,0.000000,0.000000
12,0.000000,0.000000,0.000000,0.000000
13,0.006836,0.004923,0.807770,0.006018
14,0.000000,0.000000,0.941228,0.000000
15,0.000000,0.000000,0.000000,0.000000
